Categoría,ID,Variable,Full_Format
E. GASTOS EN EDUCACION MUNICIPAL,1066,IEDU030 - Porcentaje de Gastos en Funcionamiento del Sector Educación,1066 - IEDU030 - Porcentaje de Gastos en Funcionamiento del Sector Educación
E. GASTOS EN EDUCACION MUNICIPAL,1070,IEDU028 - Porcentaje de Gastos en Personal del Area Educación respecto del Aporte de Subvención MINEDUC,1070 - IEDU028 - Porcentaje de Gastos en Personal del Area Educación respecto del Aporte de Subvención MINEDUC
E. GASTOS EN EDUCACION MUNICIPAL,1065,IEDU027 - Porcentaje de Gastos en Personal del Sector Educación,1065 - IEDU027 - Porcentaje de Gastos en Personal del Sector Educación
E. GASTOS EN EDUCACION MUNICIPAL,1067,IEDU032 - Porcentaje de Inversión sobre Gasto Total de Educación,1067 - IEDU032 - Porcentaje de Inversión sobre Gasto Total de Educación
E. GASTOS EN EDUCACION MUNICIPAL,4215,BPIGE - Presupuesto Inicial Gastos Educación,4215 - BPIGE - Presupuesto Inicial Gastos Educación
E. GASTOS EN EDUCACION MUNICIPAL,4217,BPVGE - Presupuesto Vigente Gastos Educación,4217 - BPVGE - Presupuesto Vigente Gastos Educación
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4045,DTPND - Asistentes Adscritos a Establecimientos de Educación Municipal (Fuente: MINEDUC desde 2011),4045 - DTPND - Asistentes Adscritos a Establecimientos de Educación Municipal (Fuente: MINEDUC desde 2011)
F. RECURSOS HUMANOS EN SECTOR EDUCACION,593,DNDA - Docentes de Aula Contratados (Fuente: MINEDUC),593 - DNDA - Docentes de Aula Contratados (Fuente: MINEDUC)
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4413,IEDU042.1 - Gasto en Personal a Contrata Sector Educación,4413 - IEDU042.1 - Gasto en Personal a Contrata Sector Educación
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4424,IEDU043.1 - Gasto en Personal a Honorarios del Sector Educación (Subtítulo 21.03),4424 - IEDU043.1 - Gasto en Personal a Honorarios del Sector Educación (Subtítulo 21.03)
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4414,IEDU043.2 - Gasto en Personal a Honorarios Suma Alzada y Asimilados a Grado del Sector Educación (sólo 21.03.001 y 21.03.002),4414 - IEDU043.2 - Gasto en Personal a Honorarios Suma Alzada y Asimilados a Grado del Sector Educación (sólo 21.03.001 y 21.03.002)
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4411,IEDU040.1 - Gasto en Personal de Planta Sector Educación,4411 - IEDU040.1 - Gasto en Personal de Planta Sector Educación
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4415,IEDU026.1 - Gasto Total en Personal del Sector Educación (Subtítulo 21),4415 - IEDU026.1 - Gasto Total en Personal del Sector Educación (Subtítulo 21)
F. RECURSOS HUMANOS EN SECTOR EDUCACION,781,IEDU035 - Número de Alumnos por Docente de Aula (Fuente: MINEDUC),781 - IEDU035 - Número de Alumnos por Docente de Aula (Fuente: MINEDUC)
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4520,MTPATSLE - Número de Personal en educación antes del traspaso al Servicio Local de Educación,4520 - MTPATSLE - Número de Personal en educación antes del traspaso al Servicio Local de Educación
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4521,MTPDTSLE - Número de Personal en educación que quedó contratado en el municipio después del traspaso al Servicio Local de Educación,4521 - MTPDTSLE - Número de Personal en educación que quedó contratado en el municipio después del traspaso al Servicio Local de Educación
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4519,MTPTSLE - Número de Personal en educación traspasados al Servicio Local de Educación,4519 - MTPTSLE - Número de Personal en educación traspasados al Servicio Local de Educación
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4207,IEDU042 - Personal a Contrata Sector Educación,4207 - IEDU042 - Personal a Contrata Sector Educación
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4145,DTPAEE - Personal Adscrito a Establecimientos de Educación Municipal (Fuente: MINEDUC desde 2011),4145 - DTPAEE - Personal Adscrito a Establecimientos de Educación Municipal (Fuente: MINEDUC desde 2011)
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4208,IEDU043 - Personal a Honorarios Sector Educación,4208 - IEDU043 - Personal a Honorarios Sector Educación
F. RECURSOS HUMANOS EN SECTOR EDUCACION,612,MTPND - Personal Asistente de la Educación Municipal (No Docente),612 - MTPND - Personal Asistente de la Educación Municipal (No Docente)
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4206,IEDU041 - Personal Código del Trabajo Sector Educación,4206 - IEDU041 - Personal Código del Trabajo Sector Educación
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4205,IEDU040 - Personal de Planta Sector Educación,4205 - IEDU040 - Personal de Planta Sector Educación
F. RECURSOS HUMANOS EN SECTOR EDUCACION,548,MTPD - Personal Docente,548 - MTPD - Personal Docente
F. RECURSOS HUMANOS EN SECTOR EDUCACION,4082,MPECT - Personal Honorarios en Prestaciones Serv. Programas Comunitarios Sector Educación (cta. pres. 21.04.004.000),4082 - MPECT - Personal Honorarios en Prestaciones Serv. Programas Comunitarios Sector Educación (cta. pres. 21.04.004.000)
F. RECURSOS HUMANOS EN SECTOR EDUCACION,3786,IEDU039 - Personal Sector Educación (Planta y Contrata) (desde 2008),3786 - IEDU039 - Personal Sector Educación (Planta y Contrata) (desde 2008)
F. RECURSOS HUMANOS EN SECTOR EDUCACION,783,IEDU036 - Porcentaje Personal Docente respecto al Personal del Área Educación (Fuente: Encuesta Municipal),783 - IEDU036 - Porcentaje Personal Docente respecto al Personal del Área Educación (Fuente: Encuesta Municipal)
F. RECURSOS HUMANOS EN SECTOR EDUCACION,1141,IEDU037 - Relación Personal Docente vs. Personal No Docente del Sector Educación (Fuente: Encuesta Municipal),1141 - IEDU037 - Relación Personal Docente vs. Personal No Docente del Sector Educación (Fuente: Encuesta Municipal)
G. ESTABLECIMIENTOS DE EDUCACION MUNICIPAL,684,MTEMCR - Número de Establecimientos de Educación Municipal en Áreas Rurales,684 - MTEMCR - Número de Establecimientos de Educación Municipal en Áreas Rurales
G. ESTABLECIMIENTOS DE EDUCACION MUNICIPAL,685,MTEMCU - Número de Establecimientos de Educación Municipal en Áreas Urbanas,685 - MTEMCU - Número de Establecimientos de Educación Municipal en Áreas Urbanas
G. ESTABLECIMIENTOS DE EDUCACION MUNICIPAL,786,IEDU002 - Número de Establecimientos  de Educación Municipal  (rurales y urbanos),786 - IEDU002 - Número de Establecimientos  de Educación Municipal  (rurales y urbanos)
G. ESTABLECIMIENTOS DE EDUCACION MUNICIPAL,4518,MTEPRC - Número de Establecimientos educacionales de propiedad de la corporación,4518 - MTEPRC - Número de Establecimientos educacionales de propiedad de la corporación
G. ESTABLECIMIENTOS DE EDUCACION MUNICIPAL,4517,MTEPRM - Número de Establecimientos educacionales de propiedad municipal,4517 - MTEPRM - Número de Establecimientos educacionales de propiedad municipal
A. ANTECEDENTES GENERALES DE SALUD,1202,MASM - ¿Administra Servicio de Salud Primaria?,1202 - MASM - ¿Administra Servicio de Salud Primaria?
A. ANTECEDENTES GENERALES DE SALUD,464,HPISM - Población Inscrita Validada en Servicios de Salud Municipal (FONASA),464 - HPISM - Población Inscrita Validada en Servicios de Salud Municipal (FONASA)
A. ANTECEDENTES GENERALES DE SALUD,1203,MTAS - Tipo de Administración de Sistema de Salud Municipal,1203 - MTAS - Tipo de Administración de Sistema de Salud Municipal
B. COBERTURA EN SALUD MUNICIPAL,795,ISAL006 - Cobertura de Examen Preventivo del Adulto,795 - ISAL006 - Cobertura de Examen Preventivo del Adulto
B. COBERTURA EN SALUD MUNICIPAL,788,ISAL005 - Cobertura de Salud Primaria Municipal,788 - ISAL005 - Cobertura de Salud Primaria Municipal
B. COBERTURA EN SALUD MUNICIPAL,3745,GTCM10 - Consultas de Morbilidad otorgadas a menores de 10 años,3745 - GTCM10 - Consultas de Morbilidad otorgadas a menores de 10 años
B. COBERTURA EN SALUD MUNICIPAL,3746,GTCMNBA20 - Consultas de Morbilidad otorgadas a personas de 20 años y más,3746 - GTCMNBA20 - Consultas de Morbilidad otorgadas a personas de 20 años y más
B. COBERTURA EN SALUD MUNICIPAL,694,MTCM1019 - Consultas de Morbilidad Realizadas a Adolescentes entre 10 - 19,694 - MTCM1019 - Consultas de Morbilidad Realizadas a Adolescentes entre 10 - 19
B. COBERTURA EN SALUD MUNICIPAL,696,MTCMNBA2 - Consultas de Morbilidad Realizadas a Mayores de 65 Años,696 - MTCMNBA2 - Consultas de Morbilidad Realizadas a Mayores de 65 Años
B. COBERTURA EN SALUD MUNICIPAL,457,MTCMMBA - Consultas Médicas Anuales Efectuadas por la Población Mayor de 20 Años,457 - MTCMMBA - Consultas Médicas Anuales Efectuadas por la Población Mayor de 20 Años
B. COBERTURA EN SALUD MUNICIPAL,3744,GTCM - Consultas Médicas realizadas en APS,3744 - GTCM - Consultas Médicas realizadas en APS
B. COBERTURA EN SALUD MUNICIPAL,3747,"GTMRS - Evaluaciones del Desarrollo Psico-motor, Otorgadas a Menores de 18 meses de Edad","3747 - GTMRS - Evaluaciones del Desarrollo Psico-motor, Otorgadas a Menores de 18 meses de Edad"
B. COBERTURA EN SALUD MUNICIPAL,3748,GNAESPA - Exámenes de Salud Preventivos del Adulto (ESPA),3748 - GNAESPA - Exámenes de Salud Preventivos del Adulto (ESPA)
B. COBERTURA EN SALUD MUNICIPAL,3751,HIAAPS - Indice de Actividad de Atención Primaria de Salud,3751 - HIAAPS - Indice de Actividad de Atención Primaria de Salud
B. COBERTURA EN SALUD MUNICIPAL,3880,GITPC - Ingreso Total Per Cápita recibido por Municipio durante el año (Fuente: MINSAL),3880 - GITPC - Ingreso Total Per Cápita recibido por Municipio durante el año (Fuente: MINSAL)
B. COBERTURA EN SALUD MUNICIPAL,461,MNMPV - Mujeres Entre 25 y 64 Años con PAP Vigente,461 - MNMPV - Mujeres Entre 25 y 64 Años con PAP Vigente
B. COBERTURA EN SALUD MUNICIPAL,470,HPV2064 - Población Adulta entre 20 y 64 Años Validada como Beneficiaria por FONASA para el mismo Año,470 - HPV2064 - Población Adulta entre 20 y 64 Años Validada como Beneficiaria por FONASA para el mismo Año
B. COBERTURA EN SALUD MUNICIPAL,594,"HPVM2 - Población Beneficiaria Menor de 2 años, Validada por FONASA","594 - HPVM2 - Población Beneficiaria Menor de 2 años, Validada por FONASA"
B. COBERTURA EN SALUD MUNICIPAL,466,HPVM6 - Población Beneficiaria Menor de 6 Años Validada por FONASA,466 - HPVM6 - Población Beneficiaria Menor de 6 Años Validada por FONASA
B. COBERTURA EN SALUD MUNICIPAL,3743,GPHAPB - Población de 20 y más años bajo control en Programa de Hipertensión Arterial,3743 - GPHAPB - Población de 20 y más años bajo control en Programa de Hipertensión Arterial
B. COBERTURA EN SALUD MUNICIPAL,3749,"GPCV20 - Población de 20 y más años bajo control en Programa de Riesgo Cardio-Vascular (incluye hipertensos, diabéticos y dislipidémicos)","3749 - GPCV20 - Población de 20 y más años bajo control en Programa de Riesgo Cardio-Vascular (incluye hipertensos, diabéticos y dislipidémicos)"
B. COBERTURA EN SALUD MUNICIPAL,469,HPVF2564 - Población Femenina entre 25 y 64 años Validada como Beneficiaria por FONASA para el mismo Año,469 - HPVF2564 - Población Femenina entre 25 y 64 años Validada como Beneficiaria por FONASA para el mismo Año
B. COBERTURA EN SALUD MUNICIPAL,787,ISAL004 - Población Inscrita Validada en Servicios de Salud Municipal (FONASA),787 - ISAL004 - Población Inscrita Validada en Servicios de Salud Municipal (FONASA)
B. COBERTURA EN SALUD MUNICIPAL,471,HPVM64 - Población Mayor de 64 años Validada como Beneficiaria por FONASA,471 - HPVM64 - Población Mayor de 64 años Validada como Beneficiaria por FONASA
C. INGRESOS  EN SALUD MUNICIPAL,1126,ISAL012 - Aporte del MINSAL (per cápita) respecto del Ingreso Total del Sector Salud,1126 - ISAL012 - Aporte del MINSAL (per cápita) respecto del Ingreso Total del Sector Salud
C. INGRESOS  EN SALUD MUNICIPAL,953,ISAL013 - Aporte Municipal al Sector Salud,953 - ISAL013 - Aporte Municipal al Sector Salud
C. INGRESOS  EN SALUD MUNICIPAL,1261,ISAL015 - Aporte Municipal al Sector Salud respecto al Ingreso Total Percibido Municipal,1261 - ISAL015 - Aporte Municipal al Sector Salud respecto al Ingreso Total Percibido Municipal
C. INGRESOS  EN SALUD MUNICIPAL,472,RFNDRS - Fondo Nacional de Desarrollo Regional (FNDR) a Salud,472 - RFNDRS - Fondo Nacional de Desarrollo Regional (FNDR) a Salud
C. INGRESOS  EN SALUD MUNICIPAL,954,ISAL011 - Ingresos por Aporte del MINSAL (Per Cápita),954 - ISAL011 - Ingresos por Aporte del MINSAL (Per Cápita)
C. INGRESOS  EN SALUD MUNICIPAL,1124,ISAL009 - Ingresos Salud (Ingreso Total Percibido),1124 - ISAL009 - Ingresos Salud (Ingreso Total Percibido)
C. INGRESOS  EN SALUD MUNICIPAL,4247,ISAL999 - Ingresos Salud (Ingreso Total Percibido) sin Saldo Inicial de Caja,4247 - ISAL999 - Ingresos Salud (Ingreso Total Percibido) sin Saldo Inicial de Caja
C. INGRESOS  EN SALUD MUNICIPAL,947,ISAL010 - Ingresos Totales Area Salud Descontadas las Transferencias del Municipio al Sector,947 - ISAL010 - Ingresos Totales Area Salud Descontadas las Transferencias del Municipio al Sector
C. INGRESOS  EN SALUD MUNICIPAL,3750,HITPC - Ingreso Total Per Capita recibido por Municipios,3750 - HITPC - Ingreso Total Per Capita recibido por Municipios
C. INGRESOS  EN SALUD MUNICIPAL,4218,BPIIS - Presupuesto Inicial Sector Salud,4218 - BPIIS - Presupuesto Inicial Sector Salud
C. INGRESOS  EN SALUD MUNICIPAL,4228,BPVSSALINI - Presupuesto Vigente Saldo Inicial de Caja Sector Salud,4228 - BPVSSALINI - Presupuesto Vigente Saldo Inicial de Caja Sector Salud
C. INGRESOS  EN SALUD MUNICIPAL,4220,BPVIS - Presupuesto Vigente Sector Salud,4220 - BPVIS - Presupuesto Vigente Sector Salud
C. INGRESOS  EN SALUD MUNICIPAL,1138,ISAL016 - Transferencias Municipales a Salud sobre Ingresos Propios Municipales,1138 - ISAL016 - Transferencias Municipales a Salud sobre Ingresos Propios Municipales
D. GASTOS EN SALUD MUNICIPAL,1134,ISAL23 - Gasto Anual del Area Salud por Habitante Inscrito Validado (Población Según Decreto Anual MINSAL),1134 - ISAL23 - Gasto Anual del Area Salud por Habitante Inscrito Validado (Población Según Decreto Anual MINSAL)
D. GASTOS EN SALUD MUNICIPAL,962,ISAL025 - Gasto en Capacitación Personal Area Salud,962 - ISAL025 - Gasto en Capacitación Personal Area Salud
D. GASTOS EN SALUD MUNICIPAL,956,ISAL019 - Gasto en Personal del Sector Salud,956 - ISAL019 - Gasto en Personal del Sector Salud
D. GASTOS EN SALUD MUNICIPAL,957,ISAL021 - Gastos del Funcionamiento del Sector Salud,957 - ISAL021 - Gastos del Funcionamiento del Sector Salud
D. GASTOS EN SALUD MUNICIPAL,1128,ISAL018 - Gastos Salud (Gasto Total Devengado),1128 - ISAL018 - Gastos Salud (Gasto Total Devengado)
D. GASTOS EN SALUD MUNICIPAL,964,ISAL023 - Inversión Real Sector Salud,964 - ISAL023 - Inversión Real Sector Salud
D. GASTOS EN SALUD MUNICIPAL,1130,ISAL022 - Porcentaje de Gasto de Funcionamiento Sobre el Gasto Total de Salud,1130 - ISAL022 - Porcentaje de Gasto de Funcionamiento Sobre el Gasto Total de Salud
D. GASTOS EN SALUD MUNICIPAL,1135,ISAL026 - Porcentaje de Gasto en Capacitación de Recursos Humanos del Area Salud,1135 - ISAL026 - Porcentaje de Gasto en Capacitación de Recursos Humanos del Area Salud
D. GASTOS EN SALUD MUNICIPAL,1136,ISAL024 - Porcentaje de Inversión Real sobre Gasto Total de Salud,1136 - ISAL024 - Porcentaje de Inversión Real sobre Gasto Total de Salud
D. GASTOS EN SALUD MUNICIPAL,1129,ISAL020 - Porcentaje del Gasto en Personal de Salud Sobre el Gasto Total de Salud,1129 - ISAL020 - Porcentaje del Gasto en Personal de Salud Sobre el Gasto Total de Salud
D. GASTOS EN SALUD MUNICIPAL,4219,BPIGS - Presupuesto Inicial Gastos Salud,4219 - BPIGS - Presupuesto Inicial Gastos Salud
D. GASTOS EN SALUD MUNICIPAL,4221,BPVGS - Presupuesto Vigente Gastos Salud,4221 - BPVGS - Presupuesto Vigente Gastos Salud
E. RED ASISTENCIAL SALUD,4178,MAMBUL - Número de Ambulancias,4178 - MAMBUL - Número de Ambulancias
E. RED ASISTENCIAL SALUD,4134,MCECOF - Número de CECOF en la comuna,4134 - MCECOF - Número de CECOF en la comuna
E. RED ASISTENCIAL SALUD,4137,MCSR - Número de Centros de Salud Rurales en la comuna,4137 - MCSR - Número de Centros de Salud Rurales en la comuna
E. RED ASISTENCIAL SALUD,4136,MCSU - Número de Centros de Salud Urbanos en la comuna,4136 - MCSU - Número de Centros de Salud Urbanos en la comuna
E. RED ASISTENCIAL SALUD,4133,MCESFAM - Número de CESFAM en la comuna,4133 - MCESFAM - Número de CESFAM en la comuna
E. RED ASISTENCIAL SALUD,4135,MDENTAL - Número de Clínicas Dental Móviles en la comuna,4135 - MDENTAL - Número de Clínicas Dental Móviles en la comuna
E. RED ASISTENCIAL SALUD,616,MNCGR - Número de Consultorios General Rural (CGR),616 - MNCGR - Número de Consultorios General Rural (CGR)
E. RED ASISTENCIAL SALUD,615,MNCGU - Número de Consultorios General Urbanos (CGU),615 - MNCGU - Número de Consultorios General Urbanos (CGU)
E. RED ASISTENCIAL SALUD,1137,ISAL027 - Número de Consultorios (urbanos y rurales),1137 - ISAL027 - Número de Consultorios (urbanos y rurales)
E. RED ASISTENCIAL SALUD,621,MCOSAM - Número de COSAM en la Comuna,621 - MCOSAM - Número de COSAM en la Comuna
E. RED ASISTENCIAL SALUD,4522,MSFARM - Número de Farmacias Municipales en la Comuna,4522 - MSFARM - Número de Farmacias Municipales en la Comuna
E. RED ASISTENCIAL SALUD,620,MLABC - Número de Laboratorios de Salud Comunal,620 - MLABC - Número de Laboratorios de Salud Comunal
E. RED ASISTENCIAL SALUD,622,MOES - Número de Otros Establecimientos Municipales de Salud en la Comuna,622 - MOES - Número de Otros Establecimientos Municipales de Salud en la Comuna
E. RED ASISTENCIAL SALUD,617,MNPR - Número de Postas de Salud Rural (PSR),617 - MNPR - Número de Postas de Salud Rural (PSR)
E. RED ASISTENCIAL SALUD,4523,MSOPT - Número de Ópticas Municipales en la Comuna,4523 - MSOPT - Número de Ópticas Municipales en la Comuna
E. RED ASISTENCIAL SALUD,619,MSAPU - Número de SAPU en la comuna.,619 - MSAPU - Número de SAPU en la comuna.
E. RED ASISTENCIAL SALUD,4138,MVACU - Número de Vacunatorios en la comuna,4138 - MVACU - Número de Vacunatorios en la comuna
F. RECURSOS HUMANOS EN SALUD,4420,ISAL031 - Gasto en Personal a Contrata Sector Salud,4420 - ISAL031 - Gasto en Personal a Contrata Sector Salud
F. RECURSOS HUMANOS EN SALUD,4423,ISAL032 - Gasto en Personal a Honorarios Sector Salud (Subtítulo 21.03),4423 - ISAL032 - Gasto en Personal a Honorarios Sector Salud (Subtítulo 21.03)
F. RECURSOS HUMANOS EN SALUD,4419,ISAL032.1 - Gasto en Personal a Honorarios Suma Alzada y Asimilados a Grado Sector Salud (sólo 21.03.001 y 21.03.002),4419 - ISAL032.1 - Gasto en Personal a Honorarios Suma Alzada y Asimilados a Grado Sector Salud (sólo 21.03.001 y 21.03.002)
F. RECURSOS HUMANOS EN SALUD,4417,ISAL029 - Gasto en Personal de Planta Sector Salud,4417 - ISAL029 - Gasto en Personal de Planta Sector Salud
F. RECURSOS HUMANOS EN SALUD,4416,ISAL019.1 - Gasto Total en Personal del Sector Salud (Subtitulo 21),4416 - ISAL019.1 - Gasto Total en Personal del Sector Salud (Subtitulo 21)
F. RECURSOS HUMANOS EN SALUD,699,MTFCE - Número Total de Enfermeras Contratadas al 31 de Diciembre,699 - MTFCE - Número Total de Enfermeras Contratadas al 31 de Diciembre
F. RECURSOS HUMANOS EN SALUD,4530,MTFFOND - Número Total de Fonoaudiólogos Contratados al 31 de diciembre,4530 - MTFFOND - Número Total de Fonoaudiólogos Contratados al 31 de diciembre
F. RECURSOS HUMANOS EN SALUD,4533,MTFGER - Número Total de Geriatras Contratados al 31 de diciembre,4533 - MTFGER - Número Total de Geriatras Contratados al 31 de diciembre
F. RECURSOS HUMANOS EN SALUD,4528,MTFKINE - Número Total de Kinesiólogos Contratados al 31 de diciembre,4528 - MTFKINE - Número Total de Kinesiólogos Contratados al 31 de diciembre
F. RECURSOS HUMANOS EN SALUD,4525,MTFMATRO - Número Total de Matronas Contratadas al 31 de diciembre,4525 - MTFMATRO - Número Total de Matronas Contratadas al 31 de diciembre
F. RECURSOS HUMANOS EN SALUD,491,MTFCM - Número Total de Médicos Contratados al 31 de Diciembre,491 - MTFCM - Número Total de Médicos Contratados al 31 de Diciembre
F. RECURSOS HUMANOS EN SALUD,4526,MTFNUTRI - Número Total de Nutricionistas Contratados al 31 de diciembre,4526 - MTFNUTRI - Número Total de Nutricionistas Contratados al 31 de diciembre
F. RECURSOS HUMANOS EN SALUD,4524,MTFODON - Número Total de Odontólogos Contratados al 31 de diciembre,4524 - MTFODON - Número Total de Odontólogos Contratados al 31 de diciembre
F. RECURSOS HUMANOS EN SALUD,4531,MTFPSICO - Número Total de Psicólogos Contratados al 31 de diciembre,4531 - MTFPSICO - Número Total de Psicólogos Contratados al 31 de diciembre
F. RECURSOS HUMANOS EN SALUD,4532,MTFPSIQ - Número Total de Psiquiatras Contratados al 31 de diciembre,4532 - MTFPSIQ - Número Total de Psiquiatras Contratados al 31 de diciembre
F. RECURSOS HUMANOS EN SALUD,4527,MTFTECENF - Número Total de Técnicos en Enfermería  Contratados al 31 de diciembre,4527 - MTFTECENF - Número Total de Técnicos en Enfermería  Contratados al 31 de diciembre
F. RECURSOS HUMANOS EN SALUD,4529,MTFTECMED - Número Total de Tecnólogos Médicos Contratados al 31 de diciembre,4529 - MTFTECMED - Número Total de Tecnólogos Médicos Contratados al 31 de diciembre
F. RECURSOS HUMANOS EN SALUD,3736,MPSCC - N° Personal a Contrata Sector Salud,3736 - MPSCC - N° Personal a Contrata Sector Salud
F. RECURSOS HUMANOS EN SALUD,3737,MPSH - N° Personal a Honorarios Sector Salud,3737 - MPSH - N° Personal a Honorarios Sector Salud
F. RECURSOS HUMANOS EN SALUD,4176,MPSCDT - N° Personal Código del Trabajo Sector Salud,4176 - MPSCDT - N° Personal Código del Trabajo Sector Salud
F. RECURSOS HUMANOS EN SALUD,3738,MPSP - N° Personal de Planta Sector Salud,3738 - MPSP - N° Personal de Planta Sector Salud
F. RECURSOS HUMANOS EN SALUD,4177,MPSOC - N° Personal por Otro tipo de contrato (Honorarios a Programas y Otros) sector Salud,4177 - MPSOC - N° Personal por Otro tipo de contrato (Honorarios a Programas y Otros) sector Salud
F. RECURSOS HUMANOS EN SALUD,724,"MTFCOTR - Total de Otros Profesionales de Salud Contratados al 31 de Diciembre (Odontólogos, Matronas, Nutricionistas, Asistentes social, Kinesiólogos, Psicólogos, Tecnólogos Médicos)","724 - MTFCOTR - Total de Otros Profesionales de Salud Contratados al 31 de Diciembre (Odontólogos, Matronas, Nutricionistas, Asistentes social, Kinesiólogos, Psicólogos, Tecnólogos Médicos)"
A. INFORMACION ENCUESTA CASEN,744,ISOC001 - Indice de Pobreza CASEN (Última Encuesta Vigente),744 - ISOC001 - Indice de Pobreza CASEN (Última Encuesta Vigente)
B. RED SOCIAL (SUBSIDIOS Y PENSIONES),4149,NPBSVM - Monto Pagado por Pensión Básica de Vejez (PBSV) en el año,4149 - NPBSVM - Monto Pagado por Pensión Básica de Vejez (PBSV) en el año
B. RED SOCIAL (SUBSIDIOS Y PENSIONES),4147,NPBS1 - Monto Pagado por Pensión Básica Solidaria (PBS) en el año,4147 - NPBS1 - Monto Pagado por Pensión Básica Solidaria (PBS) en el año
B. RED SOCIAL (SUBSIDIOS Y PENSIONES),4148,NPBSIM - Monto Pagado por Pensión de Invalidez (PBSI) en el año,4148 - NPBSIM - Monto Pagado por Pensión de Invalidez (PBSI) en el año
B. RED SOCIAL (SUBSIDIOS Y PENSIONES),4322,MSELECT - Número de Beneficiarios de Subsidio Eléctrico en la comuna durante el año,4322 - MSELECT - Número de Beneficiarios de Subsidio Eléctrico en la comuna durante el año
B. RED SOCIAL (SUBSIDIOS Y PENSIONES),3901,NPBSIA - Pensiones Básicas Solidarias de Invalidez (PBSI) Pagadas a la comuna,3901 - NPBSIA - Pensiones Básicas Solidarias de Invalidez (PBSI) Pagadas a la comuna
B. RED SOCIAL (SUBSIDIOS Y PENSIONES),3899,NPBSVA - Pensiones Básicas Solidarias de Vejez (PBSV) Pagadas a la comuna,3899 - NPBSVA - Pensiones Básicas Solidarias de Vejez (PBSV) Pagadas a la comuna
B. RED SOCIAL (SUBSIDIOS Y PENSIONES),4146,NPBS - Pensiones Básicas Solidarias (PBS) Pagadas a la comuna,4146 - NPBS - Pensiones Básicas Solidarias (PBS) Pagadas a la comuna
B. RED SOCIAL (SUBSIDIOS Y PENSIONES),591,MSAOR - Subsidios de Agua Potable (SAP) Otorgados por la comuna a Zonas Rurales,591 - MSAOR - Subsidios de Agua Potable (SAP) Otorgados por la comuna a Zonas Rurales
B. RED SOCIAL (SUBSIDIOS Y PENSIONES),626,MSAOU - Subsidios de Agua Potable (SAP) Otorgados por la comuna a Zonas Urbanas,626 - MSAOU - Subsidios de Agua Potable (SAP) Otorgados por la comuna a Zonas Urbanas
B. RED SOCIAL (SUBSIDIOS Y PENSIONES),486,MSUFO - Subsidios Familiares (SUF) Otorgados en la comuna,486 - MSUFO - Subsidios Familiares (SUF) Otorgados en la comuna
C. INTERMEDIACION LABORAL,481,MNPEE - Personas Enviadas a un Empleo,481 - MNPEE - Personas Enviadas a un Empleo
C. INTERMEDIACION LABORAL,480,MPIE - Personas Inscritas en la Municipalidad en Busca de Empleo,480 - MPIE - Personas Inscritas en la Municipalidad en Busca de Empleo
C. INTERMEDIACION LABORAL,482,MPIC - Personas Inscritas en la Municipalidad para Capacitación,482 - MPIC - Personas Inscritas en la Municipalidad para Capacitación
C. INTERMEDIACION LABORAL,627,MPEC - Personas que Efectivamente Egresan de Cursos de Capacitación Laboral,627 - MPEC - Personas que Efectivamente Egresan de Cursos de Capacitación Laboral
C. INTERMEDIACION LABORAL,807,ISOC012 - Tasa Logros de Egresos de Capacitación,807 - ISOC012 - Tasa Logros de Egresos de Capacitación
D. ORGANIZACIONES COMUNITARIAS,4181,MCCULT - N° de Centros Culturales,4181 - MCCULT - N° de Centros Culturales
D. ORGANIZACIONES COMUNITARIAS,720,MCMO - Nº de Centros de Madres,720 - MCMO - Nº de Centros de Madres
D. ORGANIZACIONES COMUNITARIAS,675,MCPAO - Nº de Centros de Padres y Apoderados,675 - MCPAO - Nº de Centros de Padres y Apoderados
D. ORGANIZACIONES COMUNITARIAS,719,MCOAM - Nº de Centros u Organizaciones del Adulto Mayor,719 - MCOAM - Nº de Centros u Organizaciones del Adulto Mayor
D. ORGANIZACIONES COMUNITARIAS,674,MCDO - N° de Clubes Deportivos,674 - MCDO - N° de Clubes Deportivos
D. ORGANIZACIONES COMUNITARIAS,4180,MCBOMB - N° de Compañías de Bomberos,4180 - MCBOMB - N° de Compañías de Bomberos
D. ORGANIZACIONES COMUNITARIAS,708,MJVNO - Nº de Juntas de Vecinos,708 - MJVNO - Nº de Juntas de Vecinos
D. ORGANIZACIONES COMUNITARIAS,721,MOOCF - Nº de Otras Organizaciones Comunitarias Funcionales (otros),721 - MOOCF - Nº de Otras Organizaciones Comunitarias Funcionales (otros)
